symbol,avg_volume,avg_value,data_days
EVE,39946.666666666664,435270.5,785
MFS,11499.633333333333,426491.92,785
TIN,7923.333333333333,421145.3333333333,785
SVC,17476.666666666668,419751.1666666667,785
DST,45746.666666666664,417579.3333333333,785
GGG,83203.33333333333,416295.0,785
LAI,27283.333333333332,413944.0,785
LGM,28323.333333333332,413442.6666666667,785
BKG,137240.0,410502.3,785
KPF,282453.3333333333,409344.93333333335,785
PVM,22593.0,407112.0296666667,785
BII,504420.0,405030.6666666667,785
PPH,14483.466666666667,402549.288,785
BDT,40693.333333333336,398675.6666666667,785
ACL,26700.0,393728.6666666667,785
ADS,47250.0,384078.1666666667,785
SWC,12343.333333333334,382574.0,785
PGC,28310.0,381888.1666666667,785
HPP,4653.333333333333,380535.6666666667,785
TTG,35880.0,377554.6666666667,785
NCG,31046.666666666668,376690.6666666667,533
BTH,13648.866666666667,374337.68,785
VPS,36180.0,371339.4,785
VSF,14743.333333333334,370949.3333333333,785
DCS,359303.3333333333,370496.6666666667,785
NSC,4730.0,369042.0,785
VHG,188056.66666666666,367317.0,785
SGT,21996.666666666668,365600.6666666667,785
PDN,3550.0,362183.6666666667,785
VTE,37406.666666666664,359699.6666666667,785
BMC,22746.666666666668,359650.1666666667,785
